시군구,단지명,전용면적(㎡),계약일,거래금액(만원),층,건축년도,도로명
충청남도 당진시 원당동,원당마을주공1단지,51.74,16,"14,400",12,2003,밤절로 103
전라남도 광양시 금호동,초원,84.93,16,"10,000",3,1993,금호로 130
제주특별자치도 서귀포시 동홍동,제이원클래시움,111.8623,16,"37,000",8,2020,태평로512번길 1-8
전라남도 순천시 서면 선평리,선평배들마을주공,59.83,16,"10,300",13,2001,배들이길 17
인천광역시 남동구 만수동,만수뉴서울아파트,34.65,16,"11,000",6,1992,담방로21번길 61
광주광역시 북구 오치동,명진명가,25.6,16,"4,500",6,2014,안산로 57
대구광역시 달서구 월성동,월성협성휴포레,84.9664,16,"48,700",19,2016,조암로10길 11
경기도 안산시단원구 초지동,서해그랑블,71.939,16,"39,000",6,2004,초지1로 78
경상남도 진주시 신안동,신안주공1,84.91,16,"21,900",4,1998,신안들말길 17
광주광역시 북구 운암동,운암동롯데캐슬1단지,84.9273,16,"31,000",6,2006,서강로54번길 11
부산광역시 사하구 괴정동,새괴정화신,77.49,16,"20,000",5,1981,사하로155번길 9
서울특별시 서대문구 창천동,연대JK,28.9,16,"23,000",4,2012,성산로 394
전라남도 순천시 해룡면 신대리,중흥에스-클래스2단지,84.9912,16,"33,500",3,2013,신대로 66
부산광역시 부산진구 전포동,서면아이파크1단지,84.9385,16,"77,000",24,2021,동성로 50
전북특별자치도 익산시 부송동,리젠시빌,131.1142,16,"28,500",4,2004,무왕로21길 64
인천광역시 미추홀구 주안동,삼미,39.515,16,"8,000",5,1988,석정로461번길 11
경기도 의정부시 금오동,벽산블루밍,84.966,16,"30,000",22,2005,금오로 92
경상북도 포항시남구 연일읍 유강리,대림한숲타운2차,74.19,16,"16,200",8,1999,유강길9번길 57
전북특별자치도 정읍시 수성동,제일타운,84.96,16,"17,000",12,1995,수성3로 26
울산광역시 중구 유곡동,에일린의뜰3차,84.835,16,"51,000",13,2014,종가로 245
강원특별자치도 원주시 지정면 가곡리,원주기업도시유보라아이비파크2단지(2-2블록),59.9833,16,"23,000",24,2019,조엄로 397
전북특별자치도 정읍시 수성동,부영2차,48.866,16,"7,900",2,2000,샘골로 158
전북특별자치도 군산시 나운동,그린골드맨션,59.4,16,"4,800",6,1993,상나운1길 25
경상북도 포항시북구 용흥동,한라파크201~203동,74.82,16,"6,970",2,1989,대안길 81
강원특별자치도 강릉시 입암동,강릉입암동금호어울림,157.22,16,"43,000",8,2007,성덕로 328-15
충청남도 천안시서북구 성거읍 요방리,육영원룸,27.6,16,"2,750",3,1996,망향로 343
충청남도 천안시서북구 성거읍 요방리,육영원룸,27.6,16,"2,750",3,1996,망향로 343
서울특별시 은평구 응암동,녹번역e편한세상캐슬,84.98,16,"114,000",3,2021,은평로 220
대전광역시 유성구 송강동,청솔태영,59.2925,16,"15,000",14,1995,송강로42번길 61
경기도 양주시 옥정동,양주옥정신도시대방노블랜드더시그니처,84.998,16,"51,700",15,2021,회천남로 54
강원특별자치도 태백시 황지동,우석(106동-107동),41.25,16,"4,300",3,1987,번영로 277-3
대전광역시 유성구 장대동,월드컵패밀리타운,125.7427,16,"48,000",7,2002,유성대로783번길 38
경상북도 구미시 구포동,성원,84.34,16,"11,100",7,1998,옥계2공단로 264-11
경기도 광명시 철산동,철산센트럴푸르지오,59.9897,16,"95,000",7,2021,오리로 835
전라남도 목포시 산정동,신안비치팔레스-1차,84.8005,16,"17,000",11,2003,청호로 210
강원특별자치도 원주시 태장동,금광포란재1단지,84.961,16,"15,500",10,2006,포란재로 36
전북특별자치도 군산시 산북동,산북대명아파트(1차),39.96,16,"3,400",8,1997,원산북2길 35
경기도 김포시 양촌읍 양곡리,양곡 더숲,84.87,16,"28,000",11,2010,양곡3로 155
광주광역시 북구 유동,금남로대광로제비앙,84.7468,16,"45,000",20,2022,서림로 153
충청남도 홍성군 광천읍 신진리,우주은하,84.24,16,"9,600",12,1993,홍남로 623-18
경상남도 창원시마산합포구 월영동,마린애시앙부영,84.9463,16,"35,000",3,2019,가포순환로 33
울산광역시 북구 명촌동,울산강변효성해링턴플레이스(81블럭),84.9506,16,"27,000",13,2018,명촌17길 23
광주광역시 광산구 산월동,부영그린타운,84.8512,16,"27,800",3,2005,산월로 81
전북특별자치도 전주시덕진구 진북동,우성,59.78,16,"12,500",19,1995,태진로 101
경상북도 칠곡군 기산면 죽전리,월드피아,84.9149,16,"13,600",1,2009,지산로 961
강원특별자치도 강릉시 입암동,입암1주공,46.74,16,"16,000",2,1986,강변로 364
부산광역시 기장군 정관읍 용수리,정관신도시계룡리슈빌,84.8273,16,"33,300",17,2008,513
전북특별자치도 완주군 삼례읍 수계리,엘에이치비엘로스,59.05,16,"25,800",7,2022,삼봉3로 57
경상남도 창원시마산회원구 양덕동,한일3,59.852,16,"16,000",18,2003,삼호로 151
전북특별자치도 부안군 부안읍 봉덕리,부안라온프라이빗,84.3382,16,"34,800",14,2020,쟁갈길 19
충청남도 아산시 신창면 행목리,아산신창양우내안애,35.1,16,"6,550",5,2014,행목로 202
강원특별자치도 강릉시 입암동,입암1주공,46.74,16,"16,000",2,1986,강변로 364
경기도 안양시만안구 안양동,래미안안양메가트리아,39.5,16,"37,550",22,2016,안양천서로 177
경기도 시흥시 배곧동,한라비발디캠퍼스3차,84.9973,16,"54,000",5,2018,서울대학로 172-20
전북특별자치도 전주시완산구 평화동1가,코오롱,73.015,16,"15,500",4,1995,평화로 181
경상북도 김천시 부곡동,부곡3주공아파트(및상가),42.9,16,"4,300",10,1995,문지왈길 68
인천광역시 서구 원당동,호반써밋1차,84.8981,16,"70,000",16,2021,이음5로 15
부산광역시 사하구 감천동,한성,49.82,16,"6,000",5,1982,사하로 101
울산광역시 북구 송정동,울산송정제일풍경채레이크뷰,84.987,16,"57,000",9,2019,박상진3로 73
충청북도 청주서원구 모충동,청주모충LH트릴로채,84.88,16,"30,000",1,2021,쌍샘로 22
경상북도 칠곡군 기산면 죽전리,월드피아,84.9149,16,"13,600",4,2009,지산로 961
충청북도 충주시 용관동,더푸른리버뷰아파트,28.56,16,"2,300",5,1999,창현로 1336
대구광역시 달서구 월성동,월성협성휴포레,84.9664,16,"48,700",19,2016,조암로10길 11
인천광역시 미추홀구 관교동,신비마을,49.35,16,"14,000",8,1994,경원대로 627
강원특별자치도 원주시 무실동,원주시무실세영리첼1차,84.9704,16,"40,000",11,2014,무실로 382
전북특별자치도 군산시 나운동,금호1차,58.95,16,"3,000",4,1987,신설3길 14
경기도 군포시 금정동,무궁화(화성),134.74,16,"66,000",16,1992,번영로550번길 6
광주광역시 광산구 신가동,수완대성베르힐,84.9888,16,"50,000",18,2013,수등로94번길 31
경기도 가평군 가평읍 대곡리,e편한세상가평퍼스트원,74.9267,16,"30,350",19,2023,문화로 167
경기도 안양시만안구 안양동,래미안안양메가트리아,39.5,16,"37,550",22,2016,안양천서로 177
인천광역시 부평구 부평동,부평역화성파크드림,75.8795,16,"55,900",18,2020,동수로 80
인천광역시 서구 신현동,동진,51.39,16,"14,000",2,1989,새오개로77번길 5
대전광역시 유성구 상대동,대전아이파크시티1단지,104.6659,16,"99,000",24,2021,상대복용로29번길 52
충청남도 천안시동남구 다가동,일봉산해피트리,84.9458,16,"24,000",2,2017,다가말2길 70
경기도 가평군 가평읍 대곡리,썬힐,84.16,16,"20,000",8,2008,문화로 63
경기도 안성시 죽산면 장원리,지에프,35.5956,16,"6,600",4,2002,관음당길 39-8
충청북도 청주시상당구 용암동,시티프라디움2단지,84.9954,16,"41,000",2,2020,중고개로142번길 17
세종특별자치시  고운동,가락마을19단지,59.6506,16,"33,500",8,2019,밝은뜰로 15
대구광역시 수성구 지산동,동서맨션,84.98,16,"23,000",5,1991,지산로 56
대전광역시 유성구 송강동,송강그린,59.914,16,"17,000",2,1996,구즉로 25
대구광역시 북구 동변동,유니버시아드선수촌1단지,84.5776,16,"25,500",2,2003,동변로 50
충청남도 천안시동남구 목천읍 신계리,목천이수프라임,39.68,16,"6,000",4,2000,충절로 892
전라남도 여수시 문수동,흥화,84.96,16,"14,000",4,1991,허문정1길 18
대전광역시 유성구 전민동,세종,75.29,16,"20,400",1,1994,유성대로 1741
부산광역시 부산진구 범천동,서면DS·협성엘리시안아파트,74.7091,16,"36,000",9,2017,만리산로 11
광주광역시 동구 계림동,그랜드센트럴,59.9055,16,"39,000",19,2020,경양로 234
충청북도 증평군 증평읍 신동리,"증평주공2,3단지아파트",58.14,16,"7,500",4,1995,창신로 86
경상남도 창원시진해구 풍호동,창원마린푸르지오1단지,72.9761,16,"34,500",5,2015,천자로 386
경기도 고양시일산동구 식사동,위시티일산자이1단지,162.7081,16,"77,000",8,2010,위시티4로 80
경기도 고양시덕양구 동산동,동산마을호반베르디움,84.9397,15,"68,000",16,2012,동산2로 18
세종특별자치시  종촌동,가재마을10단지,84.9365,15,"49,000",3,2014,도움1로 74
경기도 수원시권선구 호매실동,한양수자인파크원,97.6214,15,"64,500",4,2018,칠보로 102
경상남도 창원시성산구 상남동,성원,84.92,15,"34,000",14,1994,원이대로 774
경기도 수원시영통구 망포동,방죽마을영통뜨란채,84.68,15,"47,900",4,2005,영통로200번길 156
경기도 용인시기흥구 청덕동,휴먼시아물푸레마을3단지,84.32,15,"50,000",2,2008,구성3로 65
경상남도 창원시성산구 신촌동,성원,50.91,15,"9,800",3,1987,신촌로 123
경기도 부천시원미구 중동,래미안부천중동,70,15,"74,800",4,2015,신흥로276번길 15
경기도 고양시덕양구 원흥동,삼송2차원흥역동원로얄듀크비스타,84.9867,15,"76,500",21,2020,권율대로 690
경기도 고양시덕양구 신원동,삼송10단지동일스위트2차,66.0932,15,"53,300",9,2018,신원1로 70
경기도 수원시영통구 매탄동,현대힐스테이트,84.975,15,"60,300",8,2006,권광로260번길 36
경기도 용인시기흥구 서천동,현대홈타운,115.976,15,"48,000",11,2002,예현로35번길 21
경기도 수원시영통구 망포동,e편한세상영통2차(1단지),59.9158,15,"50,000",2,2016,봉영로 1410-17
경기도 수원시영통구 매탄동,매탄위브하늘채,84.7807,15,"76,000",8,2008,효원로 363
경기도 부천시원미구 상동,"한아름마을(삼환,동아,동성)",84.87,15,"52,000",4,1994,부흥로 100
경기도 용인시기흥구 언남동,하마비마을동부,84.99,15,"48,500",9,1998,구성로 123
경기도 부천시원미구 상동,진달래마을(효성),84.98,15,"78,500",8,2002,계남로 72
대전광역시 유성구 전민동,나래,84.87,15,"28,400",11,1994,엑스포로 501
대전광역시 유성구 전민동,나래,84.87,15,"28,400",11,1994,엑스포로 501
경기도 파주시 목동동,산내마을6단지한라비발디,84.99,15,"47,400",21,2013,청암로 27
충청남도 천안시동남구 신부동,힐스테이트천안신부,59.3721,15,"28,500",8,2017,북일로 70
대구광역시 달서구 본리동,더샵달서센트럴,72.66,15,"40,000",2,2020,당산로 17
강원특별자치도 강릉시 남문동,삼익그린맨션,84.08,15,"18,000",9,1992,홍제로 7-17
부산광역시 영도구 동삼동,절영아파트(208동-214동),46.27,15,"10,000",4,1995,와치로 231
충청북도 증평군 증평읍 송산리,지평더웰,59.9752,15,"18,100",11,2014,송산로 11
광주광역시 북구 운암동,중외공원모아미래도,81.2155,15,"46,300",22,2022,서강로 171
울산광역시 중구 남외동,남외푸르지오2차,134.7612,15,"71,000",8,2007,남외로 60
충청북도 증평군 도안면 화성리,해누리,59.93,15,"4,500",2,1994,화성로 79
부산광역시 남구 용호동,대광타워맨션,84.93,15,"17,500",6,1995,이기대공원로26번길 45-3
부산광역시 남구 용호동,더블유,117.4219,15,"183,000",36,2018,분포로 145
대구광역시 달서구 장기동,영남네오빌,84.9732,15,"37,300",16,2004,한들로 36
경상북도 상주시 무양동,지엘리베라움아파트,84.989,15,"33,400",17,2015,봉양1길 126
충청북도 청주서원구 사직동,푸르지오캐슬(501~508),72.28,15,"28,300",11,2010,예체로 30
인천광역시 미추홀구 도화동,더프레스티움,65.91,15,"23,700",18,2021,경인로 165
경상남도 함안군 칠원읍 구성리,금안썬타워,59.62,15,"8,000",3,2002,구성길 125
서울특별시 마포구 공덕동,래미안공덕5차,59.97,15,"139,000",8,2011,마포대로 173-15
충청북도 진천군 이월면 송림리,대승산내들,47.88,15,"5,000",8,2000,진안로 46
서울특별시 동대문구 장안동,장안현대홈타운(336),112.78,15,"107,500",16,2003,장안벚꽃로 107
경상북도 칠곡군 약목면 관호리,삼주강변타운,50,15,"3,270",5,1993,관호8길 28-18
광주광역시 북구 두암동,주공3,49.77,15,"13,700",6,1994,삼정로 50
경상북도 칠곡군 약목면 관호리,삼주강변타운,50,15,"2,800",1,1994,관호8길 28-18
광주광역시 북구 매곡동,대성베르힐,84.2383,15,"28,100",9,2005,초당로7번길 19
충청북도 음성군 음성읍 읍내리,무지개,59.932,15,"6,000",11,1993,용광로 41
경기도 양주시 덕계동,회천파밀리에더퍼스트,84.95,15,"42,700",23,2024,덕계로 111
울산광역시 북구 신천동,협성노블리스,84.8,15,"24,750",15,2003,호계로 309-20
경상남도 김해시 삼방동,동원,59.96,15,"8,000",13,1991,삼안로 226
충청북도 충주시 호암동,부강아파트,26.01,15,"4,000",13,1995,호암중앙2로 31
서울특별시 관악구 봉천동,은천2단지아파트,49.95,15,"56,000",5,2000,인헌12길 46-1
서울특별시 관악구 봉천동,은천2단지아파트,49.95,15,"56,000",5,2000,인헌12길 46-1
서울특별시 관악구 봉천동,벽산블루밍,59.99,15,"70,000",19,2005,은천로 93
충청북도 음성군 대소면 부윤리,한미금강,53.46,15,"5,300",5,1994,신내로 148-8
충청북도 청주시흥덕구 옥산면 가락리,청주리버파크자이,66.952,15,"28,700",17,2019,오송가락로 1056
강원특별자치도 원주시 명륜동,더샵원주센트럴파크3단지,84.9835,15,"44,000",15,2022,한지공원길 25-2
충청북도 충주시 용산동,용산주공1차,37.79,15,"12,300",2,1981,거룡2길 17
충청북도 청주시상당구 탑동,현대,84.945,15,"12,500",2,1991,탑동로 78
충청북도 청주시상당구 탑동,석탑,58.185,15,"5,800",1,1984,탑동로1번길 70
부산광역시 부산진구 당감동,"백양뜨란채,주공아파트(1단지)",59.91,15,"14,800",15,1999,백양산로53번길 125
충청북도 청주시흥덕구 옥산면 가락리,청주리버파크자이,84.988,15,"32,500",27,2019,오송가락로 1056
인천광역시 부평구 부개동,욱일,51.01,15,"34,200",2,1998,장제로 234
강원특별자치도 원주시 명륜동,더샵원주센트럴파크3단지,84.9835,15,"46,500",13,2022,한지공원길 25-2
경기도 부천시원미구 심곡동,에코스마트2,14.43,15,"5,600",11,2013,신흥로16번길 11
서울특별시 마포구 아현동,마포센트럴 아이파크,84.9668,15,"155,000",12,2017,마포대로 246
경기도 여주시 천송동,여주KCC스위첸,84.9386,15,"45,000",23,2019,강변북로 2
경상남도 창원시마산합포구 오동동,기산상가,43.98,15,"8,100",9,1997,오동동14길 29
전라남도 광양시 중동,성호2차(206~215동),59.79,15,"6,950",12,2006,광장로 70
경상북도 경산시 사동,부영1차,59.889,15,"10,500",3,2001,백자로20길 53
부산광역시 기장군 정관읍 매학리,정관2차동원로얄듀크,59.997,15,"26,900",11,2013,12
경기도 김포시 마산동,한강 힐스테이트,84.937,15,"38,000",5,2013,김포한강7로22번길 22
전라남도 광양시 중동,성호2차(206~215동),59.79,15,"5,650",5,2007,광장로 70
충청남도 당진시 송산면 유곡리,당진엠코타운,84.9772,15,"14,500",6,2013,유곡로 20
경기도 김포시 마산동,한강 힐스테이트,84.937,15,"38,000",5,2013,김포한강7로22번길 22
경기도 파주시 문산읍 당동리,파주한양수자인리버팰리스아파트,84.86,15,"25,000",3,2015,당동1로 52
경상남도 진주시 주약동,한보은빛마을,84.86,15,"25,000",7,2002,천수로 30
경기도 파주시 와동동,가람마을9단지남양휴튼(1344),84.988,15,"39,500",23,2010,미래로 562
경상남도 진주시 강남동,한주한보,59.73,15,"11,400",10,1995,망경로296번길 17
전라남도 목포시 옥암동,우미오션빌,103.5936,15,"22,000",8,2002,평화로107번길 16
경기도 평택시 안중읍 현화리,건영캐스빌,84.95,15,"19,800",2,2005,안현로서9길 164-9
경상북도 포항시북구 양덕동,양덕삼구트리니엔4차,67.703,15,"20,000",7,2017,장량중앙로 99
전라남도 광양시 마동,중마노르웨이숲,84.9211,15,"30,000",16,2014,자작길 23
경상남도 김해시 관동동,힐스테이트김해,84.7596,15,"34,000",7,2019,관동로27번길 39
세종특별자치시  도담동,도램마을11단지(반도유보라),84.9783,15,"57,000",17,2017,보듬4로 9
대구광역시 남구 대명동,현대까멜리아,84.89,15,"18,000",13,2003,성당로 240
경기도 하남시 망월동,미사강변사랑으로부영아파트,60.8988,15,"77,900",18,2017,미사강변동로 20
서울특별시 강동구 성내동,선광,51.83,15,"57,500",6,1997,성내로14길 18
충청남도 아산시 배방읍 공수리,배방한성필하우스1단지,84.9614,15,"24,600",11,2006,배방로 58-43
충청남도 아산시 배방읍 공수리,배방삼정그린코아,38.49,15,"7,700",1,2012,모산로126번길 17-7
충청남도 아산시 배방읍 공수리,배방삼정그린코아,38.49,15,"8,200",13,2012,모산로126번길 17-7
강원특별자치도 속초시 조양동,부영6,40,15,"11,000",7,1995,조양로 163
강원특별자치도 속초시 조양동,성호,59.76,15,"14,800",9,2001,청대로 8
충청남도 아산시 배방읍 북수리,롯데캐슬,84.9858,15,"22,400",12,2008,북수로 183
경기도 안산시단원구 원곡동,벽산블루밍,84.99,15,"41,000",18,2004,원선로 50
경기도 안산시단원구 원곡동,벽산블루밍,84.99,15,"35,000",19,2004,원선로 50
경상북도 경주시 황성동,진홍빌리지,35.28,15,"4,400",8,1995,용담로92번길 7-9
충청남도 당진시 송악읍 석포리,수웅누리,39.6,15,"2,500",5,1999,송악로 520
경기도 시흥시 장현동,시흥능곡역모아미래도에듀포레,84.9613,15,"57,000",23,2020,장현순환로 81
경상북도 경주시 현곡면 하구리,경주센트럴푸르지오,84.7016,15,"31,000",16,2019,용담로 548
강원특별자치도 속초시 교동,현대3,59.852,15,"14,500",3,1998,미시령로3359번길 5
경기도 군포시 대야미동,대림e-편한세상,84.975,15,"52,000",8,2008,군포로 109
인천광역시 서구 마전동,검단힐스테이트,84.2846,15,"31,500",2,2007,완정로92번길 11
경기도 동두천시 지행동,지행현대1차아파트,59.84,15,"13,400",16,1999,평화로 2316-20
강원특별자치도 속초시 교동,로얄1,59.31,15,"9,000",2,1986,만천5길 3-40
경기도 안성시 숭인동,동신,59.91,15,"12,300",1,1994,혜산로 37-24
인천광역시 중구 중산동,인천영종한양수자인,59.1006,15,"26,800",16,2012,은하수로 377
서울특별시 동대문구 전농동,전농우성,59.78,15,"59,000",15,1992,사가정로 190
대구광역시 달서구 월성동,월성우방타운,134.73,15,"34,500",5,1991,학산로2길 10
전라남도 순천시 석현동,주공,59.3,15,"8,000",2,1984,환선로 132
전라남도 순천시 석현동,주공,59.3,15,"8,000",2,1984,환선로 132
경상남도 창원시마산회원구 내서읍 상곡리,중리근로복지,41.85,15,"5,000",15,1993,상곡로 67
전라남도 순천시 조례동,주공7,39.74,15,"6,600",2,1996,봉화2길 116
충청남도 아산시 음봉면 산동리,삼일원앙,39.73,15,"7,000",5,1997,음봉로 847
경상북도 포항시북구 용흥동,해원하나로타운1,84.72,15,"11,500",15,1995,우미길 90
경상북도 포항시북구 용흥동,우방1,134.79,15,"20,200",5,1991,대안길 56
전라남도 순천시 매곡동,삼풍그린파크2,70.92,15,"8,600",11,1991,매산길 90
경기도 안산시단원구 신길동,휴먼시아6단지,84.64,15,"40,200",10,2009,신길로 62
인천광역시 미추홀구 용현동,성원상떼빌,84.9297,15,"32,000",3,2009,낙섬동로 104
대구광역시 수성구 신매동,한라하우젠트,84.9639,15,"35,000",14,2006,달구벌대로 3310
인천광역시 서구 청라동,청라국제금융단지한양수자인레이크블루,84.4945,15,"74,400",8,2019,청라한내로 132
경상남도 거제시 옥포동,옥포5차덕산타운,59.925,15,"5,700",5,1996,옥포로 315
경기도 김포시 구래동,호수마을e편한세상아파트,84.9759,15,"39,000",9,2013,김포한강5로 385
충청남도 당진시 순성면 봉소리,세안,49.91,15,"3,000",5,1994,순성로 454
광주광역시 광산구 신창동,풍영리버빌(신가부영),84.9873,15,"26,800",18,2001,수등로 287
대구광역시 수성구 신매동,사월화성파크드림(1단지),84.9999,15,"37,500",9,2006,달구벌대로 3304
충청남도 당진시 순성면 봉소리,순성중명,59.34,15,"4,000",5,1994,순성로 453-30
경상남도 창원시의창구 중동,창원중동유니시티1단지,84.1031,15,"81,300",10,2019,중동로 34
세종특별자치시  대평동,해들마을6단지,99.1844,15,"74,000",10,2018,대평로 80
경기도 안성시 공도읍 용두리,주은풍림,49.77,15,"11,500",11,2002,서동대로 4079
경기도 안산시단원구 와동,천년가리더스카이,84.6615,15,"45,500",27,2020,와동로 125
부산광역시 사하구 감천동,제일(13-1105),45.19,15,"3,800",4,1976,옥천로75번안길 10
강원특별자치도 원주시 소초면 장양리,영진4차,37.12,15,"3,200",9,2006,장막2길 10
전북특별자치도 부안군 부안읍 봉덕리,엘에이치,74.98,15,"24,800",20,2015,석정로 262
대구광역시 달서구 월성동,월성푸르지오,84.9232,15,"43,600",6,2008,조암로6길 20
대구광역시 북구 산격동,산격청구2,59.87,15,"18,000",17,1999,대구체육관로4길 2
서울특별시 서대문구 남가좌동,래미안루센티아,84.84,15,"116,000",6,2020,거북골로 100
부산광역시 사하구 다대동,다대푸르지오,104.6621,15,"46,100",10,2012,윤공단로 123
전라남도 목포시 상동,주공4단지,38.64,15,"4,600",10,1993,상동로 64
경상북도 영천시 금호읍 원제리,금호윤성모닝타운,29.94,15,"2,450",19,2018,원제2길 16-8
전북특별자치도 고창군 고창읍 월곡리,온천마을제일,59.9646,15,"17,000",4,1999,월곡로 83
전북특별자치도 고창군 고창읍 읍내리,성산,38.955,15,"5,500",2,1998,동리로 172-14
울산광역시 북구 매곡동,매곡푸르지오1차,101.662,15,"31,900",8,2008,신천로 92
전라남도 여수시 소라면 죽림리,여수죽림사랑으로부영1차,59.9284,15,"19,700",12,2014,죽림로 10
광주광역시 서구 화정동,신동아,84.94,15,"20,500",9,1995,월드컵4강로28번길 60
대전광역시 동구 신흥동,신흥SKVIEW,74.9383,15,"43,000",14,2022,충무로 255
부산광역시 부산진구 부전동,네오스포,59.901,15,"14,800",13,1999,신천대로 122
전북특별자치도 정읍시 신태인읍 연정리,신태인연가,83.7346,15,"10,000",4,2012,감곡로 13
충청북도 청주시흥덕구 송절동,청주테크노폴리스푸르지오,73.924,15,"41,667",20,2018,송화로214번길 7
전북특별자치도 전주시완산구 효자동1가,주공3,45.72,15,"15,250",5,1984,용머리로 194
광주광역시 서구 치평동,상무광명메이루즈,84.9857,15,"43,700",29,2016,시청로 27
인천광역시 남동구 논현동,한라,59.7,15,"17,900",14,1996,포구로 64-6
대전광역시 대덕구 법동,e편한세상대전법동,59.9747,15,"41,800",11,2020,중리북로 46
대구광역시 동구 신천동,신천역까사밀라101동,24.03,15,"7,200",13,2015,동부로 29
제주특별자치도 제주시 화북이동,제주삼화사랑으로부영2차,84.3616,15,"51,500",5,2013,화삼로 12
부산광역시 부산진구 전포동,서면롯데캐슬스카이,33.7495,15,"13,700",26,2004,전포대로275번길 20
대전광역시 동구 용운동,e편한세상 대전에코포레,59.8825,15,"31,800",16,2020,용운로 203
강원특별자치도 춘천시 석사동,신도브래뉴,84.9618,15,"34,000",6,2007,공지로 69-10
전라남도 순천시 서면 압곡리,서면예원,40.14,15,"1,500",5,1988,산단2길 55
경상북도 안동시 옥동,옥동삼성1차,84.962,15,"20,500",14,1998,옥광1길 17
충청북도 청주시흥덕구 가경동,가로수마을한라비발디,84.977,15,"39,300",10,2008,서현서로 40
서울특별시 송파구 풍납동,동아한가람1,84.38,15,"80,000",11,1995,한가람로 446
충청남도 보령시 신흑동,산호,85,15,"18,700",7,1996,고잠2길 1-31
강원특별자치도 양양군 양양읍 내곡리,이편한세상양양,60.3525,15,"23,500",1,2018,한고개길 17-18
강원특별자치도 양양군 양양읍 내곡리,이편한세상양양,60.3525,15,"23,500",1,2018,한고개길 17-18
충청북도 청주시흥덕구 신봉동,한성,54.63,15,"8,000",2,1988,1순환로 451
대전광역시 대덕구 덕암동,덕암아파트,41.87,15,"7,300",13,1998,덕암로265번길 81
대구광역시 북구 복현동,복현서한이다음,59.9,15,"17,000",13,1996,검단로 50
전라남도 광양시 광양읍 덕례리,대림,60,15,"9,000",16,1998,대림오성로 11
전북특별자치도 전주시덕진구 우아동3가,KTX전주역클래시아더스카이,84.6013,15,"37,500",11,2021,동부대로 670
전북특별자치도 군산시 산북동,하늘가2차,35.91,15,"2,800",11,2007,칠성로 126
대구광역시 달서구 죽전동,죽전역에일린의뜰,84.7573,15,"58,800",13,2024,와룡로 254
경기도 의정부시 장암동,동아,59.925,15,"28,000",20,1997,장곡로 240
충청남도 천안시서북구 쌍용동,쌍용동일하이빌,163.986,15,"48,000",4,2007,충무로 5-16
