Unnamed: 0,번호,제목,저자,출판사,출판일
,15,An AI Planning-based Tool for Scheduling Satellite Nominal Operations,"Rodriguez-Moreno, M. D.; Borrajo, D.; Meziat, D.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2004
,16,"User Interface Goals, AI Opportunities","Lieberman, H.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2009
,17,McCorduck's Machines Who Think after Twenty-Five Years: Revisiting the Origins of AI,"Mirowski, P.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2003
,18,Innovative AI Applications: Introduction to This Special Issue,"Jacobstein, N.; Porter, B.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2006
,19,AI and education: the importance of teacher and student relations,"Guilherme, Alex",SPRINGER VERLAG KG,2017
,20,The 1998 AI planning system competition,"McDermott, Drew",American Association for Artificial Intelligence,2000
,21,Why AI shall emerge in the one of possible worlds?,"Sitnicki, Ignacy",SPRINGER VERLAG KG,2018
,22,A New AI Evaluation Cosmos: Ready to Play the Game?,"Hernández-Orallo,  José; Baroni,  Marco; Bieger,  Jordi; Chmait,  Nader; Dowe,  David L.; Hofmann,  Katja; Martínez-Plumed,  Fernando; Strannegård,  Claes; Thórissons,  Kristinn R.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2017
,23,The AAAI-07 Conference: Focal Point for AI Research Worldwide,"Hedberg, S.R.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2007
,24,Cancer: A Computational Disease That AI Can Cure,"Tenenbaum, J.M.; Shrager, J.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2011
,25,Optimizing Limousine Service with AI,"Chun, A.H.W.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2011
,26,Mediating between AI and Highly Specialized Users,"Petrelli, D.; Dadzie, A.-S.; Lanfranchi, V.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2009
,27,Mixed-Initiative Interface Personalization as a Case Study in Usable AI,"Bunt, A.; Conati, C.; McGrenere, J.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2009
,28,Standing on the Feet of Giants — Reproducibility in AI,"Gundersen, Odd Erik",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2019
,29,AI & Society Vol. 20.4,"Vesna, V.",SPRINGER VERLAG KG,2006
,30,The Israeli AI Community,"Felner,  Ariel",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2016
,31,Rethinking AI magazine again,"Goel, Ashok",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2021
,32,What Intelligence is Left in AI,"Baggi, D. L.",SPRINGER VERLAG KG,2000
,33,Tactical Language and Culture Training Systems: Using AI to Teach Foreign Languages and Cultures,"Johnson, W.L.; Valente, A.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2009
,34,"A History of AI Research and Development in Thailand: Three Periods, Three Directions","Kawtrakul, A.; Praneetpolgrang, P.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2014
,35,Where and when AI and CI meet: exploring the intersection of artificial and collective intelligence towards the goal of innovating how we govern,"Verhulst, Stefaan G.",SPRINGER VERLAG KG,2018
,36,Recap of the 2010 AI and Interactive Digital Entertainment Conference,"Youngblood, G.M.; Bulitko, V.; Weber, B.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2011
,37,Solving Mathematical Puzzles: A Challenging Competition for AI,"Chesani,  Federico; Mello,  Paola; Milano,  Michela",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2017
,38,The Value of AI Tools: Some Lessons Learned,"Minton,  Steven N.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2017
,39,Identifying Terrorist Activity with AI Plan Recognition Technology,"Jarvis, P. A.; Lunt, T. F.; Myers, K. L.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2005
,40,AI Challenge Problem: Scalable Models for Patterns of Life,"Folsom-Kovarik, J.T.; Schatz, S.; Jones, R.M.; Bartlett, K.; Wray, R.E.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2014
,41,The Distributed AI Toolkit,"Goldstein, D.",MILLER FREEMAN INC,1994
,42,Scheduling High-Volume Service Requests: Applying AI methods to a management information system effectively can address business needs,"Stein, R. M.",MILLER FREEMAN INC,1994
,43,The Application of AI to Automatically Generated Animation,"Szarowicz, A.; Amiguet-Vercher, J.; Forte, P.; Briggs, J.; Gelepithis, P.; Remagnino, P.",UNKNOWN,2001
,44,AI Languages Resource Guide,"Berg, T.",MILLER FREEMAN INC,1994
,45,No AI Is an Island: The Case for Teaming Intelligence,"Johnson, Matthew; Vera, Alonso H.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2019
,46,Newton: Bringing AI Out of the Ivory Tower,"Wilson, S.",MILLER FREEMAN INC,1994
,47,Games between humans and AIs,"DeCanio, Stephen J.",SPRINGER VERLAG KG,2017
,48,Principles for Designing an AI Competition,"Shieber,  Stuart M.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2016
,49,Phase-Mapper: Accelerating Materials Discovery with AI,"Bai,  Junwen; Xue,  Yexiang; Bjorck,  Johan; Le Bras,  Ronan; Rappazzo,  Brendan; Berristein,  Richard; Suram,  Santosh K.; van Dover,  R. Bruce; Gregoire,  John M.; Gomes,  Carla P.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2018
,50,Advancing AI Research and Applications by Learning from What Went Wrong and Why,"Shapiro, D.; Goker, M.H.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2008
,51,"Artificial Intelligence, Autonomy, and Human-Machine Teams: Interdependence, Context, and Explainable AI","Lawless, W. F.; Mittu, Ranjeev; Sofge, Don; Hiatt, Laura",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2019
,52,Software Social Organisms: Implications for Measuring AI Progress,"Forbus,  Kenneth D.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2016
,53,"Intelligent Road Transit: It's an asphalt and concrete jungle out on the highways, but AI techniques help make traffic nightmares become highways to heaven","Rock, D.",MILLER FREEMAN INC,1994
,54,Deceptive User Interfaces Impede AI,"Merritt, D.",MILLER FREEMAN INC,1994
,55,A tour of machine learning: An AI perspective,"Sebag, M.",IOS-INTERNATIONAL ORGANIZATIONS SERVICES BV,2014
,56,Reasoning in context for AI applications,"Brezillon, Patrick",American Association for Artificial Intelligence,2000
,57,A Review of Real-Time Strategy Game AI,"Robertson, G.; Watson, I.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2014
,58,Rethinking the I-You relation through dialogical philosophy in the Ethics of AI and robotics,"Richardson, Kathleen",SPRINGER VERLAG KG,2017
,59,AI Topics,"Buchanan, B. G.; Glick, J.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2002
,60,Where's AI Hiding?,"Hedberg, S.",MILLER FREEMAN INC,1995
,61,Uncommon voices of AI,"Gill, K. S.",SPRINGER VERLAG KG,2017
,62,Fuzzy Risk Analysis: Using AI Systems,"Jablonowski, M.",MILLER FREEMAN INC,1994
,63,AI & Society Birthday Issue Vol. 21.4,"Cooley, M.",SPRINGER VERLAG KG,2007
,64,AAAI-08 and IAAI-08 Conferences Provide Focal Point for AI,"Hedberg, S.R.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2009
,65,Primacy of I–you connectedness revisited: some implications for AI and robotics,"Stawarska, Beata",SPRINGER VERLAG KG,2017
,66,TEXTAL: Crystallographic Protein Model Building Using AI and Pattern Recognition,"Gopal, K.; Romo, T. D.; McKee, E. W.; Pai, R.; Smith, J. N.; Sacchettini, J. C.; Ioerger, T. R.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2006
,67,AI and Locomotion: Horse Kinematics,"Koenig, P.",MILLER FREEMAN INC,1994
,68,Editorial: Accentuating the ``Magazine'' in AI Magazine,"Goel,  Ashok",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2018
,69,XAITK: The explainable AI toolkit,"Hu, Brian; Tunison, Paul; Vasu, Bhavan; Menon, Nitesh; Collins, Roddy; Hoogs, Anthony",John Wiley & Sons Ltd,2021
,70,DARPA's explainable AI (XAI) program: A retrospective,"Gunning, David; Vorm, Eric; Wang, Jennifer Yunyan; Turek, Matt",John Wiley & Sons Ltd,2021
,71,The Intelligence Files: Corporate World is Taking AI A Lot More Seriously,"Blanchard, D.","KNOWLEDGE TECHNOLOGY, INC.",1998
,72,Welcome to the first issue of Applied AI Letters,"Pyzer‐Knapp, Edward O.; Cuff, James; Patterson, Jack; Isayev, Olexandr; Maskell, Simon",unknown,2020
,73,"Little ai, Big AI—Good AI, Bad AI","Euchner, Jim",INDUSTRIAL RESEARCH INSTITUTE INC,2019
,74,An ultralong room-temperature phosphorescent material based on the combination of small singlet–triplet splitting energy and H-aggregationElectronic supplementary information (ESI) available: Synthesis and characterization data of new compounds. X-ray crystallographic files for AI-Cz and AI-N-Cz. CCDC 1961852 (AI-N-Cz) and 1961853 (AI-Cz). For ESI and crystallographic data in CIF or other electronic format see DOI: 10.1039/c9cc09636a,"Zhang, Liang; Li, Meng; Gao, Qing-Yu; Chen, Chuan-Feng",Royal Society of Chemistry,2020
,75,Culaiṫ Agus Gléas Le Haġaiḋ Nollaig Na Mban,"Ní Aiṁirgín, Máire F.",Comhar Teoranta,1948
,76,PSENEN Mutation Carriers with Co-manifestation of Acne Inversa (AI) and Dowling-Degos Disease (DDD): Is AI or DDD the Subphenotype?,"Li, Chengrang; Li, Wenrui; Xu, Haoxiang; Zhang, Xiaofeng; Su, Bin; Zhang, Wanlu; Zhang, Xue; Wang, Baoxi",Nature Publishing Group,2017
,77,THE RESEARCH OF AI/AIN AND AI/AI~2O~3 SUBSTRATE,"Peng, R.; Zhou, H.; Ning, X.; Wei, X.",International Society for Optical Engineering; 1999,2002
,78,ETHICS MAPS FOR AI ANALYTICS: An ethics map is an essential component of any company's AI usage and AI-based decision-making strategy.,"PATELLI, LORENZO. ",Institute Management Accoutants,2021
,79,Incipient melting of AI~5Mg~8Si~6Cu~2 and AI~2Cu intermetallics in unmodified and strontium-modified AI-Si-Cu-Mg (319) alloys during solution heat treatment,"Samuel, F. H.",CHAPMAN & HALL,1998
,80,Guidelines for clinical trials using artificial intelligence – SPIRIT‐AI and CONSORT‐AI†,"McGenity, Clare; Treanor, Darren","John Wiley & Sons, Ltd",2021
,81,THE RESEARCH OF AI/AIN AND AI/AI~2O~3 SUBSTRATE,"Peng, R.;Zhou, H.;Ning, X.;Wei, X.",IMAPS,2002
,82,Position paper on COVID-19 imaging and AI: From the clinical needs and technological challenges to initial AI solutions at the lab and national level towards a new era for AI in healthcare,"Greenspan, Hayit; San José Estépar, Raúl; Niessen, Wiro J.; Siegel, Eliot; Nielsen, Mads","Elsevier Science B.V., Amsterdam.",2020
,83,Correlates of Cigarette Smoking Among Selected Southwest and Northern Plains Tribal Groups: The AI-SUPERPFP Study,"Henderson, P. N.; Jacobsen, C.; Beals, J.; AI-SUPERPFP Team",AMERICAN PUBLIC HEALTH ASSOCIATION,2005
,84,"AI4People—An Ethical Framework for a Good AI Society: Opportunities, Risks, Principles, and Recommendations","Floridi, Luciano; Cowls, Josh; Beltrametti, Monica; Chatila, Raja; Chazerand, Patrice; Dignum, Virginia; Luetge, Christoph; Madelin, Robert; Pagallo, Ugo; Rossi, Francesca; Schafer, Burkhard; Valcke, Peggy; Vayena, Effy",Springer Nature,2018
,85,Ai‐bl1.0: a program for automatic on‐line beamline optimization using the evolutionary algorithm,"Xi, Shibo; Borgna, Lucas Santiago; Zheng, Lirong; Du, Yonghua; Hu, Tiandou","John Wiley & Sons, Ltd",2017
,86,AI as a moral crumple zone: The effects of AI-mediated communication on attribution and trust,"Hohenstein, Jess; Jung, Malte","Elsevier Science B.V., Amsterdam.",2020
,87,AI‐enhanced soil management and smart farming,"Chen, Qianyu; Li, Lanyu; Chong, Clive; Wang, Xiaonan",Wiley-Blackwell,2022
,88,"AI‐2 represses CagA expression and bacterial adhesion, attenuating the Helicobacter pylori‐induced inflammatory response of gastric epithelial cells","Wen, Yancheng; Huang, Hongming; Tang, Tiechen; Yang, Huang; Wang, Xi; Huang, Xi; Gong, Yingying; Zhang, Xiaoyan; She, Feifei",Wiley-Blackwell,2021
,89,AI vs AI: fraudsters turn defensive technology into an attack tool,"Vaithianathasamy, Swami","Elsevier Science B.V., Amsterdam.",2019
,90,Opportunities for Behavioral Research in Ais: The Matter of Expertise,"Bouwman, M. J.",JAI Press,1996
,91,AI‐enabled IT capability and organizational performance,"Wang, Fang","John Wiley & Sons, Ltd",2022
,92,AI‐assisted data dissemination methods for supporting intelligent transportation systems†,"Sun, Peng; Boukerche, Azzedine",John Wiley & Sons Ltd,2021
,93,AI in talent acquisition: a review of AI-applications used in recruitment and selection,"Albert, Edward Tristram",Emerald Group Publishing Ltd,2019
,94,AI/CONSULT: A Prototype Directed History System Based Upon the AI/Rheum Knowledge Base,"Kaplan, R. S.",IEEE COMPUTER SOCIETY PRESS,1993
,95,An AI‐based model for describing cyclic characteristics of granular materials,"Zhang, Pin; Yin, Zhen‐Yu; Jin, Yin‐Fu; Ye, Guan‐Lin","John Wiley & Sons, Ltd",2020
,96,AI©R,"Cedillo-Lazcano, Israel",Taylor & Francis,2020
,97,An AI‐based virtual simulation experimental teaching system in space engineering education,"Shen, Yang; Yu, Peng; Lu, Hang; Zhang, Xiangling; Zeng, Haijun","John Wiley & Sons, Ltd",2021
,98,AI: Inventing a New Kind of Machine,"Clancey, W. J.",ACM Press,1995
,99,AI: NEW RISKS AND REWARDS: Will reliance on AI increase accounting and financial fraud?,"NICKERSON, MARK A. ",Institute Management Accoutants,2019
,100,"AI‐Powered mental health chatbots: Examining users' motivations, active communicative action and engagement after mass‐shooting disasters","Cheng, Yang; Jiang, Hua",Wiley-Blackwell,2020
,1,AI Natural Language in Meta-Synthetics of AI-Qur'an,"Shamsuddin, A. F.;Farooq, A.",IEEE,2000
,2,AI‐Enhanced Diagnosis of Challenging Lesions in Breast MRI: A Methodology and Application Primer,"Meyer‐Base, Anke; Morra, Lia; Tahmassebi, Amirhessam; Lobbes, Marc; Meyer‐Base, Uwe; Pinker, Katja","John Wiley & Sons, Ltd",2021
,3,AI,unknown,"Elsevier Science B.V., Amsterdam.",2019
,4,AI vs &#x201C;AI&#x201D;: Synthetic Minds or Speech Acts,"Lewis, Peter R.; Marsh, Stephen; Pitt, Jeremy","THE IEEE, INC.",2021
,5,"AIS: With security at the forefront of attention, we look at the impact of AIS - will it be beneficial to security forces or is it a potential threat in the hands of terrorists etc","Petersen, D.",ARGUS BUSINESS MEDIA,2003
,6,AI-Enabled Next-Generation Communication Networks: Intelligent Agent and AI Router,"Jiang, Chunxiao; Ge, Ning; Kuang, Linling",IEEE,2021
,7,AI-CHD: An AI-Based Framework for Cost-Effective Surgical Telementoring of Congenital Heart Disease,Xiaowei Xu ; Hailong Qiu ; Qianjun Jia ; Yuhao Dong ; Zeyang Yao ; Wen Xie ; Huiming Guo ; Haiyun Yuan ; Jian Zhuang ; Meiping Huang ; Yiyu Shi,Association for Computing Machinery,2021
,8,"AIS/VDRs AIS has wider potential than just transmitting ship information. Safety at Sea International explores other possible uses. Meanwhile, simplified VDRs could save money and help security. 24,000 vessels will need to install them","Smith, J.; Speed, D.; Law, A. S.; Glass, E. J.; Burt, D. W.",ARGUS BUSINESS MEDIA,2004
,9,AI@nti-Malware: An intelligent framework for defending against malware attacks,"Ma, Yi-Wei; Chen, Jiann-Liang; Kuo, Wen-Han; Chen, Yu-Chen","Elsevier Science B.V., Amsterdam",2022
,10,AI@TSS- Intelligent technical support scam detection system,"Chen, Yu-Chen; Chen, Jiann-Liang; Ma, Yi-Wei","Elsevier Science B.V., Amsterdam",2021
,11,S-0424-00-AI Preparation of AI-B-N Nanocomposite Phase from Mixture of Preceramic Polymer and Metal Components,"Moon, K.-T.;Jeon, J.-K.;Kim, Y.-J.;Kim, D.-P.",Pergamon,2000
,12,An AI‐based Prediction Model for Drug‐drug Interactions in Osteoporosis and Paget's Diseases from SMILES,"Hung, Truong Nguyen Khanh; Le, Nguyen Quoc Khanh; Le, Ngoc Hoang; Van Tuan, Le; Nguyen, Thuan Phuoc; Thi, Cao; Kang, Jiunn‐Horng","John Wiley and Son Ltd.,",2022
,13,AI4COVID-19: AI enabled preliminary diagnosis for COVID-19 from cough samples via an app,"Imran, Ali; Posokhova, Iryna; Qureshi, Haneya N.; Masood, Usama; Riaz, Muhammad Sajid; Ali, Kamran; John, Charles N.; Hussain, MD Iftikhar; Nabeel, Muhammad",Elsevier Science B.V. Amsterdam,2020
,14,AI-PLAX: AI-based placental assessment and examination using photos,"Chen, Yukun; Zhang, Zhuomin; Wu, Chenyan; Davaasuren, Dolzodmaa; Goldstein, Jeffery A.; Gernand, Alison D.; Wang, James Z.","Elsevier Science B.V., Amsterdam.",2020
,15,"Ai gets picky about recycling: From Coke bottles to flatscreen displays, more of the raw materials from our massing mounds of waste can now be recovered and recycled using AI-driven technologies","Hayes, James",Institution of Engineering and Technology,2022
,16,AI‐Enabled Parabolic Response Surface Approach Identifies Ultra Short‐Course Near‐Universal TB Drug Regimens,"Horwitz, Marcus A.; Clemens, Daniel L.; Lee, Bai‐Yu",John Wiley & Sons Ltd,2020
,17,AI‐Controlled Robot Masks: Resisting Patriarchal Oppression,"Farahi, Behnaz","John Wiley & Sons, Ltd",2022
,18,AI‐based selection of superior proteomic biomarkers for classifying Alzheimer's disease,"Tandon, Raghav; Seyfried, Nicholas T.; Mitchell, Cassie S",John Wiley & Sons Ltd,2021
,19,The AI-2-dependent regulator LsrR has a limited regulon in Salmonella Typhimurium,"Thijs, I. M.; Zhao, H.; De Weerdt, A.; Engelen, K.; De Coster, D.; Schoofs, G.; McClelland, M.; Vanderleyden, J.; Marchal, K.; De Keersmaecker, S. C.",Nature Publishing Group,2010
,20,AI,"Heimer, Matt",Time Inc.,2018
,21,AI‐based approach to identify compromised meters in data integrity attacks on smart grid,"Khanna, Kush; Panigrahi, Bijaya Ketan; Joshi, Anupam",THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,2018
,22,AI‐Based Unmixing of Medium and Source Signatures From Seismograms: Ground Freezing Patterns,"Steinmann, René; Seydoux, Léonard; Campillo, Michel",Wiley-Blackwell,2022
,23,AI‐driven user aesthetics preference prediction for UI layouts via deep convolutional neural networks,"Xing, Baixi; Cao, Hanfei; Shi, Lei; Si, Huahao; Zhao, Lina",IET,2022
,24,Principles and business processes for responsible AI,"Clarke, Roger","Elsevier Science B.V., Amsterdam",2019
,25,Can AI hiring systems be made antiracist? Makers and users of AI-assisted recruiting software reexamine the tools' development and how they're used - [News],"Hsu, Jeremy",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,26,"""Situated AI"" in Video Games: Integrating NLP, Path Planning, and 3D Animation","Cavazza, M.;Bandi, S.;Palmer, I.",AAAI,1999
,27,Livio™ AI — In Conversation with Achin Bhowmik,"Bhowmik, Achin; Smith, Gareth",Pinpoint Scotland Ltd,2019
,28,Whose AI? How different publics think about AI and its social impacts,"Bao, Luye; Krause, Nicole M.; Calice, Mikhaila N.; Scheufele, Dietram A.; Wirz, Christopher D.; Brossard, Dominique; Newman, Todd P.; Xenos, Michael A.","Elsevier Science B.V., Amsterdam.",2022
,29,Theoretical and positron annihilation study of point defects in intermetallic compound Ni₃AI,"Sun, Jian;Lin Dongliang (T. L. Lin) 195 ;",unknown,1994
,30,"Rethinking AI: Will current AI research lead to ""thinking machines?"" Not in the traditional way","Rasmus, D. W.",SIGS PUBLICATIONS INC,1996
,31,Generalizing AI: Challenges and Opportunities for Plug and Play AI Solutions,"Ridhawi, Ismaeel Al; Otoum, Safa; Aloqaily, Moayad; Boukerche, Azzedine",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,32,"The AI Journey: What Is Real, and What Is AI?","Ellyn, Lynne",CUTTER CONSORTIUM,2019
,33,Apolipoprotein AI- and AI:AII-containing lipoproteins in white men and women of the HERITAGE Family study: associations with metabolic risk profile variables,"Couillard, C.; Bergeron, J.; Despres, J. P.; Gagnon, J.; Rankinen, T.; Leon, A. S.; Rao, D. C.; Skinner, J. S.; Wilmore, J. H.; Bouchard, C.","Elsevier Science B.V., Amsterdam",2003
,34,On the Argument for Jian’ai,"Loy, H. c.",Springer Science + Business Media,2013
,35,How AI revolutionizes innovation management – Perceptions and implementation preferences of AI-based innovators,"Füller, Johann; Hutter, Katja; Wahl, Julian; Bilgram, Volker; Tekic, Zeljko","Elsevier Science B.V., Amsterdam.",2022
,36,Understanding AI Advertising From the Consumer Perspective: What Factors Determine Consumer Appreciation of AI-Created Advertisements?,Linwan Wu ; Taylor Jing Wen,World Advertising Research Center Ltd.,2021
,37,Socially Situated AI: What It Means and Why It Matters,"Sengers, P.",AAAI,1996
,38,"The AI-extended consumer: Technology, consumer, country differences in the formation of demand for AI-empowered consumer products","Frank, Björn; Herbas-Torrico, Boris; Schvaneveldt, Shane J.","Elsevier Science B.V., Amsterdam.",2021
,39,The Ai Weiwei papers Jerome A Cohen introduces a legal summary of Ai's tax case,unknown,NEW STATESMAN LTD,2012
,40,Game AI Is Dead. Long Live Game AI!,"Nareyek, A.",COMPUTER SOCIETY,2007
,41,"Exploring AI. The self taught architect is better known for his art, but Ai Weiwei's Architectural studio has developed a restrained style that speaks to the Fundamentals - form, structure, proportion and light","Goodwin,  Kate",EMAP ARCHITECTURE,2015
,42,What Do You Mean by ``AI''?,"Wang, P.",IOS Press,2008
,43,Feminist AI: Can We Expect Our AI Systems to Become Feminist?,Galit Wellner; Tiran Rothman,Springer,2020
,44,When AI-based services fail: examining the effect of the self-AI connection on willingness to share negative word-of-mouth after service failures,"Huang, Bo; Philp, Matthew",Taylor & Francis,2021
,45,Remote research methods for Human–AI–Robot Teaming,"Lematta, Glenn J.; Corral, Christopher C.; Buchanan, Verica; Johnson, Craig J.; Mudigonda, Anagha; Scholcover, Federico; Wong, Margaret E.; Ezenyilimba, Akuadasuo; Baeriswyl, Manuel; Kim, Jimin; Holder, Eric; Chiou, Erin K.; Cooke, Nancy J.",John Wiley & Sons Ltd,2022
,46,Beyond 'AI for Social Good' (AI4SG): social transformations—not tech-fixes—for health equity,"Holzmeyer, Cheryl",Maney Publishing,2021
,47,Talking About AI: Socially Defined Linguistic Subcontexts in AI,"Steier, A. M.;Belew, R. K.",AAAI,1994
,48,Iambic IBM AI: The Palindrome Discovery AI Project,"Siegel, E.",ACM ASSOCIATION FOR COMPUTING MACHINERY,2000
,49,Artificial intelligence (AI) impacting diagnosis of glaucoma and understanding the regulatory aspects of AI-based software as medical device,"Prabhakar, Bala; Singh, Rishi Kumar; Yadav, Khushwant S.","Elsevier Science B.V., Amsterdam.",2021
,50,Logics in AI: post-proceedings JELIA06 (Editorial),"Fisher, M.; Hoek, W.",Heidelberg; Springer,2007
,51,Effect of T'ai Chi Exercise on Hypertension in Young and Middle-Aged In-Service Staff,"Shou, Xiao-Ling; Wang, Lei; Jin, Xiao-Qing; Zhu, Li-Yue; Ren, Ai-Hua; Wang, Qi-Nan","Mary Ann Liebert, Inc.",2019
,52,Where is AI and how about Education?,"Sandberg, J.; Andriessen, J.",IOS Press,1997
,53,Inevitable Influences: AI-Based Medical Devices at the Intersection of Medical Devices Regulation and the Proposal for AI Regulation,"Palmieri, Sofia; Walraet, Paulien; Goffin, Tom",Brill Academic Publishers,2021
,54,Nitrated apolipoprotein AI/apolipoprotein AI ratio is increased in diabetic patients with coronary artery disease,"Chen, X.; Bakillah, A.; Zhou, L.; Pan, X.; Hoepfner, F.; Jacob, M.; Jiang, X. C.; Lazar, J.; Schlitt, A.; Hussain, M. M.","Elsevier Science B.V., Amsterdam.",2016
,55,GaAs and AI~0~.~2Ga~0~.~8As Solar Cells with an Indirect-Bandgap AI~0~.~8Ga~0~.~2As Emitter-Heterojunction Cells,"Venkatasubramanian, R.;Timmons, M. L.;Hutchby, J. A.;Field, H.",IEEE,1994
,56,"Allying with AI? Reactions toward human-based, AI/ML-based, and augmented hiring processes","Gonzalez, Manuel F.; Liu, Weiwei; Shirase, Lei; Tomczak, David L.; Lobbe, Carmen E.; Justenhoven, Richard; Martin, Nicholas R.","Elsevier Science B.V., Amsterdam.",2022
,57,Not All AI are Equal: Exploring the Accessibility of AI-Mediated Communication Technology,"Goldenthal, Emma; Park, Jennifer; Liu, Sunny X.; Mieczkowski, Hannah; Hancock, Jeffrey T.","Elsevier Science B.V., Amsterdam.",2021
,58,Artificial Intelligence (AI) for the early detection of breast cancer: a scoping review to assess AI's potential in breast screening practice,"Houssami, Nehmat; Kirkpatrick-Jones, Georgia; Noguchi, Naomi; Lee, Christoph I.",Informa Healthcare,2019
,59,"Low density Fe—Mn—AI—C steels: Phase structures, mechanisms and properties","Gutierrez-Urrutia, I.",IRON & STEEL INSTITUTE OF JAPAN,2021
,60,The Hsi-Yu Lu 西进镣 by Yeh-Lü Ch'u-Ts'ai 耶律楚材,"de Rachewiltz, Igor",Taylor & Francis,1962
,61,GaAs and AI~0~.~2Ga~0~.~8As Solar Cells with an Indirect-Bandgap AI~0~.~8Ga~0~.~2As Emitter - Heterojunction Cells,"Venkatasubramanian, R.",IEEE INC,1994
,62,What Does Fuzzy Logic Bring to AI?,"Dubois, D.;Prade, H.",ACM Press,1995
,63,Animals and AI. The role of animals in AI research and application – An overview and ethical evaluation,"Bossert, Leonie; Hagendorff, Thilo","Elsevier Science B.V., Amsterdam.",2021
,64,Activities of AI in the AI-Ga-In-Sb System in the Temperature Range of 1073-1273K,"JAYAGANTHAN, R",Pergamon,1998
